Date,Sales
2024-01-01,159
2024-01-02,316
2024-01-03,379
2024-01-04,87
2024-01-05,233
2024-01-06,497
2024-01-07,278
2024-01-08,372
2024-01-09,212
2024-01-10,377
2024-01-11,229
2024-01-12,399
2024-01-13,476
2024-01-14,328
2024-01-15,232
2024-01-16,178
2024-01-17,87
2024-01-18,250
2024-01-19,427
2024-01-20,309
2024-01-21,252
2024-01-22,395
2024-01-23,344
2024-01-24,272
2024-01-25,231
2024-01-26,446
2024-01-27,234
2024-01-28,286
2024-01-29,459
2024-01-30,107
2024-01-31,445
2024-02-01,78
2024-02-02,356
2024-02-03,235
2024-02-04,493
2024-02-05,144
2024-02-06,289
2024-02-07,291
2024-02-08,437
2024-02-09,500
2024-02-10,416
2024-02-11,236
2024-02-12,469
2024-02-13,476
2024-02-14,187
2024-02-15,461
2024-02-16,130
2024-02-17,226
2024-02-18,264
2024-02-19,457
2024-02-20,347
2024-02-21,486
2024-02-22,193
2024-02-23,96
2024-02-24,373
2024-02-25,205
2024-02-26,249
2024-02-27,168
2024-02-28,272
2024-02-29,342
2024-03-01,206
2024-03-02,340
2024-03-03,377
2024-03-04,195
2024-03-05,206
2024-03-06,290
2024-03-07,419
2024-03-08,121
2024-03-09,448
2024-03-10,184
2024-03-11,217
2024-03-12,241
2024-03-13,76
2024-03-14,354
2024-03-15,354
2024-03-16,54
2024-03-17,467
2024-03-18,448
2024-03-19,80
2024-03-20,205
2024-03-21,463
2024-03-22,406
2024-03-23,116
2024-03-24,180
2024-03-25,366
2024-03-26,81
2024-03-27,58
2024-03-28,251
2024-03-29,109
2024-03-30,213
2024-03-31,286
2024-04-01,317
2024-04-02,484
2024-04-03,95
2024-04-04,419
2024-04-05,408
2024-04-06,162
2024-04-07,238
2024-04-08,135
2024-04-09,122
2024-04-10,195
2024-04-11,129
2024-04-12,405
2024-04-13,368
2024-04-14,326
2024-04-15,402
2024-04-16,52
2024-04-17,300
2024-04-18,257
2024-04-19,144
2024-04-20,161
2024-04-21,53
2024-04-22,195
2024-04-23,279
2024-04-24,220
2024-04-25,436
2024-04-26,54
2024-04-27,161
2024-04-28,425
2024-04-29,343
2024-04-30,446
2024-05-01,375
2024-05-02,142
2024-05-03,213
2024-05-04,352
2024-05-05,498
2024-05-06,427
2024-05-07,71
2024-05-08,248
2024-05-09,173
2024-05-10,303
2024-05-11,97
2024-05-12,351
2024-05-13,147
2024-05-14,75
2024-05-15,140
2024-05-16,295
2024-05-17,147
2024-05-18,335
2024-05-19,114
2024-05-20,370
2024-05-21,469
2024-05-22,152
2024-05-23,461
2024-05-24,286
2024-05-25,215
2024-05-26,67
2024-05-27,211
2024-05-28,141
2024-05-29,362
2024-05-30,87
2024-05-31,397
2024-06-01,111
2024-06-02,232
2024-06-03,92
2024-06-04,402
2024-06-05,468
